model,relevant_property,sharpness,human_mean,model_mean,signed_residual,abs_residual
incremental_recursive,both,blurred,0.7456020075441603,0.67625546,-0.06934654299032728,0.06934654299032728
incremental_recursive,both,sharp,0.7039198614267522,0.6828643,-0.021055553069513455,0.021055553069513455
incremental_recursive,first,blurred,0.8004220194738666,0.7208046,-0.07961744736845888,0.07961744736845888
incremental_recursive,first,sharp,0.8430052735958975,0.7242041,-0.11880115057572538,0.11880115057572538
incremental_recursive,second,blurred,0.5622611471576391,0.6402827,0.07802154336741585,0.07802154336741585
incremental_recursive,second,sharp,0.5434676018329876,0.6441992,0.10073159069096871,0.10073159069096871
incremental_static,both,blurred,0.7456020075441603,0.6762401,-0.06936192098867933,0.06936192098867933
incremental_static,both,sharp,0.7039198614267522,0.682753,-0.02116683494130911,0.02116683494130911
incremental_static,first,blurred,0.8004220194738666,0.72071904,-0.07970298003371157,0.07970298003371157
incremental_static,first,sharp,0.8430052735958975,0.7241966,-0.11880866076096708,0.11880866076096708
incremental_static,second,blurred,0.5622611471576391,0.6402144,0.07795323644450325,0.07795323644450325
incremental_static,second,sharp,0.5434676018329876,0.6442,0.10073242515599556,0.10073242515599556
planned_usefulness_order,both,blurred,0.7456020075441603,0.68756133,-0.058040674364686407,0.058040674364686407
planned_usefulness_order,both,sharp,0.7039198614267522,0.6947094,-0.009210441222589627,0.009210441222589627
planned_usefulness_order,first,blurred,0.8004220194738666,0.7173646,-0.083057410232381,0.083057410232381
planned_usefulness_order,first,sharp,0.8430052735958975,0.7200299,-0.12297538305863553,0.12297538305863553
planned_usefulness_order,second,blurred,0.5622611471576391,0.63026893,0.0680077842312159,0.0680077842312159
planned_usefulness_order,second,sharp,0.5434676018329876,0.6329584,0.08949081033742257,0.08949081033742257
planned_usefulness_order_static,both,blurred,0.7456020075441603,0.68835133,-0.05725067440283338,0.05725067440283338
planned_usefulness_order_static,both,sharp,0.7039198614267522,0.694927,-0.008992884269159451,0.008992884269159451
planned_usefulness_order_static,first,blurred,0.8004220194738666,0.71681434,-0.08360768031294741,0.08360768031294741
planned_usefulness_order_static,first,sharp,0.8430052735958975,0.7198748,-0.1231304743443411,0.1231304743443411
planned_usefulness_order_static,second,blurred,0.5622611471576391,0.6297302,0.06746907745173591,0.06746907745173591
planned_usefulness_order_static,second,sharp,0.5434676018329876,0.6328254,0.0893577727702839,0.0893577727702839
